benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan
TA,15,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1380
TA,15,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1301
TA,15,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1344
TA,15,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1270
TA,15,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1333
TA,15,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1328
TA,15,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1356
TA,15,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1326
TA,15,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1389
TA,15,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1361
TA,20,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1477
TA,20,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1533
TA,20,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1541
TA,20,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1443
TA,20,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1523
TA,20,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1556
TA,20,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1557
TA,20,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1594
TA,20,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1528
TA,20,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1485
TA,20,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1882
TA,20,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1841
TA,20,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1707
TA,20,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1853
TA,20,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1752
TA,20,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1943
TA,20,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1919
TA,20,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1727
TA,20,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1799
TA,20,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1787
TA,30,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1900
TA,30,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1974
TA,30,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2016
TA,30,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2041
TA,30,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2081
TA,30,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1971
TA,30,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2095
TA,30,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1919
TA,30,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1934
TA,30,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2007
TA,30,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2272
TA,30,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2168
TA,30,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2098
TA,30,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2241
TA,30,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2226
TA,30,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2258
TA,30,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2171
TA,30,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2227
TA,30,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2334
TA,30,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2290
TA,50,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2978
TA,50,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2927
TA,50,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2854
TA,50,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2863
TA,50,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2794
TA,50,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2929
TA,50,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3018
TA,50,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2952
TA,50,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2948
TA,50,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2828
TA,50,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3044
TA,50,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3176
TA,50,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3103
TA,50,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2862
TA,50,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3138
TA,50,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3146
TA,50,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3030
TA,50,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3017
TA,50,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3367
TA,50,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,3240
TA,100,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5533
TA,100,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5430
TA,100,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5861
TA,100,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5446
TA,100,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5546
TA,100,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5479
TA,100,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5485
TA,100,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5466
TA,100,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5420
TA,100,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5250
LA,10,5,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,666
LA,10,5,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,704
LA,10,5,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,660
LA,10,5,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,619
LA,10,5,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,593
LA,15,5,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,926
LA,15,5,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,890
LA,15,5,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,863
LA,15,5,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,954
LA,15,5,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,958
LA,20,5,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1222
LA,20,5,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1039
LA,20,5,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1155
LA,20,5,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1292
LA,20,5,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1207
LA,10,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1008
LA,10,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,799
LA,10,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,875
LA,10,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,884
LA,10,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,935
LA,15,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1160
LA,15,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1014
LA,15,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1080
LA,15,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1058
LA,15,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1022
LA,20,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1246
LA,20,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1303
