benchmark,job_n,mc_n,instance_i,name,makespan,method
TA,15,15,0,TA01,1389,Park
TA,15,15,1,TA02,1519,Park
TA,15,15,2,TA03,1457,Park
TA,15,15,3,TA04,1465,Park
TA,15,15,4,TA05,1352,Park
TA,15,15,5,TA06,1481,Park
TA,15,15,6,TA07,1554,Park
TA,15,15,7,TA08,1488,Park
TA,15,15,8,TA09,1556,Park
TA,15,15,9,TA10,1501,Park
TA,20,15,0,TA11,1626,Park
TA,20,15,1,TA12,1668,Park
TA,20,15,2,TA13,1715,Park
TA,20,15,3,TA14,1642,Park
TA,20,15,4,TA15,1672,Park
TA,20,15,5,TA16,1700,Park
TA,20,15,6,TA17,1678,Park
TA,20,15,7,TA18,1684,Park
TA,20,15,8,TA19,1900,Park
TA,20,15,9,TA20,1752,Park
TA,20,20,0,TA21,2199,Park
TA,20,20,1,TA22,2049,Park
TA,20,20,2,TA23,2006,Park
TA,20,20,3,TA24,2020,Park
TA,20,20,4,TA25,1981,Park
TA,20,20,5,TA26,2057,Park
TA,20,20,6,TA27,2187,Park
TA,20,20,7,TA28,2054,Park
TA,20,20,8,TA29,2210,Park
TA,20,20,9,TA30,2140,Park
TA,30,15,0,TA31,2251,Park
TA,30,15,1,TA32,2378,Park
TA,30,15,2,TA33,2316,Park
TA,30,15,3,TA34,2319,Park
TA,30,15,4,TA35,2333,Park
TA,30,15,5,TA36,2210,Park
TA,30,15,6,TA37,2201,Park
TA,30,15,7,TA38,2151,Park
TA,30,15,8,TA39,2138,Park
TA,30,15,9,TA40,2007,Park
TA,30,20,0,TA41,2654,Park
TA,30,20,1,TA42,2579,Park
TA,30,20,2,TA43,2737,Park
TA,30,20,3,TA44,2772,Park
TA,30,20,4,TA45,2435,Park
TA,30,20,5,TA46,2681,Park
TA,30,20,6,TA47,2428,Park
TA,30,20,7,TA48,2440,Park
TA,30,20,8,TA49,2446,Park
TA,30,20,9,TA50,2530,Park
TA,50,15,0,TA51,3145,Park
TA,50,15,1,TA52,3157,Park
TA,50,15,2,TA53,3103,Park
TA,50,15,3,TA54,3278,Park
TA,50,15,4,TA55,3142,Park
TA,50,15,5,TA56,3258,Park
TA,50,15,6,TA57,3230,Park
TA,50,15,7,TA58,3469,Park
TA,50,15,8,TA59,3108,Park
TA,50,15,9,TA60,3256,Park
TA,50,20,0,TA61,3425,Park
TA,50,20,1,TA62,3626,Park
TA,50,20,2,TA63,3110,Park
TA,50,20,3,TA64,3329,Park
TA,50,20,4,TA65,3339,Park
TA,50,20,5,TA66,3340,Park
TA,50,20,6,TA67,3371,Park
TA,50,20,7,TA68,3265,Park
TA,50,20,8,TA69,3798,Park
TA,50,20,9,TA70,3919,Park
TA,100,20,0,TA71,5962,Park
TA,100,20,1,TA72,5522,Park
TA,100,20,2,TA73,6335,Park
TA,100,20,3,TA74,5827,Park
TA,100,20,4,TA75,6042,Park
TA,100,20,5,TA76,5707,Park
TA,100,20,6,TA77,5737,Park
TA,100,20,7,TA78,5979,Park
TA,100,20,8,TA79,5799,Park
TA,100,20,9,TA80,5718,Park
LA,10,5,0,LA01,805,Park
LA,10,5,1,LA02,687,Park
LA,10,5,2,LA03,862,Park
LA,10,5,3,LA04,650,Park
LA,10,5,4,LA05,593,Park
LA,15,5,0,LA06,926,Park
LA,15,5,1,LA07,931,Park
LA,15,5,2,LA08,863,Park
LA,15,5,3,LA09,951,Park
LA,15,5,4,LA10,966,Park
LA,20,5,0,LA11,1276,Park
LA,20,5,1,LA12,1039,Park
