benchmark,job_n,mc_n,instance_i,name,makespan,method
TA,15,15,0,TA01,1488.9,Monaci
TA,15,15,1,TA02,1488.9,Monaci
TA,15,15,2,TA03,1488.9,Monaci
TA,15,15,3,TA04,1488.9,Monaci
TA,15,15,4,TA05,1488.9,Monaci
TA,15,15,5,TA06,1488.9,Monaci
TA,15,15,6,TA07,1488.9,Monaci
TA,15,15,7,TA08,1488.9,Monaci
TA,15,15,8,TA09,1488.9,Monaci
TA,15,15,9,TA10,1488.9,Monaci
TA,20,15,0,TA11,1735.5,Monaci
TA,20,15,1,TA12,1735.5,Monaci
TA,20,15,2,TA13,1735.5,Monaci
TA,20,15,3,TA14,1735.5,Monaci
TA,20,15,4,TA15,1735.5,Monaci
TA,20,15,5,TA16,1735.5,Monaci
TA,20,15,6,TA17,1735.5,Monaci
TA,20,15,7,TA18,1735.5,Monaci
TA,20,15,8,TA19,1735.5,Monaci
TA,20,15,9,TA20,1735.5,Monaci
TA,20,20,0,TA21,2094.6,Monaci
TA,20,20,1,TA22,2094.6,Monaci
TA,20,20,2,TA23,2094.6,Monaci
TA,20,20,3,TA24,2094.6,Monaci
TA,20,20,4,TA25,2094.6,Monaci
TA,20,20,5,TA26,2094.6,Monaci
TA,20,20,6,TA27,2094.6,Monaci
TA,20,20,7,TA28,2094.6,Monaci
TA,20,20,8,TA29,2094.6,Monaci
TA,20,20,9,TA30,2094.6,Monaci
TA,30,15,0,TA31,2370.6,Monaci
TA,30,15,1,TA32,2370.6,Monaci
TA,30,15,2,TA33,2370.6,Monaci
TA,30,15,3,TA34,2370.6,Monaci
TA,30,15,4,TA35,2370.6,Monaci
TA,30,15,5,TA36,2370.6,Monaci
TA,30,15,6,TA37,2370.6,Monaci
TA,30,15,7,TA38,2370.6,Monaci
TA,30,15,8,TA39,2370.6,Monaci
TA,30,15,9,TA40,2370.6,Monaci
TA,30,20,0,TA41,2764.1,Monaci
TA,30,20,1,TA42,2764.1,Monaci
TA,30,20,2,TA43,2764.1,Monaci
TA,30,20,3,TA44,2764.1,Monaci
TA,30,20,4,TA45,2764.1,Monaci
TA,30,20,5,TA46,2764.1,Monaci
TA,30,20,6,TA47,2764.1,Monaci
TA,30,20,7,TA48,2764.1,Monaci
TA,30,20,8,TA49,2764.1,Monaci
TA,30,20,9,TA50,2764.1,Monaci
