benchmark,job_n,mc_n,instance_i,agent_type,action_type,rule,makespan,time
TA,15,15,0,rule,buffer,LTT,1484,0.2561
TA,15,15,0,rule,buffer,MOR,1387,0.2561
TA,15,15,0,rule,buffer,FDD/MWKR,1433,0.2561
TA,15,15,0,rule,buffer,LRPT,1491,0.2561
TA,15,15,0,rule,buffer,SPT,1462,0.2561
TA,15,15,1,rule,buffer,LTT,1439,0.2334
TA,15,15,1,rule,buffer,MOR,1352,0.2334
TA,15,15,1,rule,buffer,FDD/MWKR,1413,0.2334
TA,15,15,1,rule,buffer,LRPT,1440,0.2334
TA,15,15,1,rule,buffer,SPT,1446,0.2334
TA,15,15,2,rule,buffer,LTT,1429,0.1815
TA,15,15,2,rule,buffer,MOR,1445,0.1815
TA,15,15,2,rule,buffer,FDD/MWKR,1423,0.1815
TA,15,15,2,rule,buffer,LRPT,1426,0.1815
TA,15,15,2,rule,buffer,SPT,1495,0.1815
TA,15,15,3,rule,buffer,LTT,1400,0.1664
TA,15,15,3,rule,buffer,MOR,1396,0.1664
TA,15,15,3,rule,buffer,FDD/MWKR,1442,0.1664
TA,15,15,3,rule,buffer,LRPT,1387,0.1664
TA,15,15,3,rule,buffer,SPT,1708,0.1664
TA,15,15,4,rule,buffer,LTT,1443,0.1834
TA,15,15,4,rule,buffer,MOR,1418,0.1834
TA,15,15,4,rule,buffer,FDD/MWKR,1431,0.1834
TA,15,15,4,rule,buffer,LRPT,1494,0.1834
TA,15,15,4,rule,buffer,SPT,1618,0.1834
TA,15,15,5,rule,buffer,LTT,1423,0.1804
TA,15,15,5,rule,buffer,MOR,1389,0.1804
TA,15,15,5,rule,buffer,FDD/MWKR,1398,0.1804
TA,15,15,5,rule,buffer,LRPT,1369,0.1804
TA,15,15,5,rule,buffer,SPT,1522,0.1804
TA,15,15,6,rule,buffer,LTT,1406,0.1764
TA,15,15,6,rule,buffer,MOR,1386,0.1764
TA,15,15,6,rule,buffer,FDD/MWKR,1368,0.1764
TA,15,15,6,rule,buffer,LRPT,1470,0.1764
TA,15,15,6,rule,buffer,SPT,1434,0.1764
