benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan,run_t,mean_transit_t,decision_n
TA,15,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1380,3.8203,0.0327,117
TA,15,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1301,4.092,0.033,124
TA,15,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1344,4.0467,0.0332,122
TA,15,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1270,3.7857,0.0324,117
TA,15,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1333,4.1952,0.033,127
TA,15,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1328,4.001,0.0325,123
TA,15,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1356,3.9124,0.0329,119
TA,15,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1326,3.7897,0.033,115
TA,15,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1389,3.7977,0.0314,121
TA,15,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1361,3.1544,0.0289,109
TA,20,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1477,6.0329,0.0311,194
TA,20,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1533,6.3349,0.032,198
TA,20,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1541,6.0902,0.0327,186
TA,20,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1443,5.9297,0.0321,185
TA,20,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1523,6.0917,0.0319,191
TA,20,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1556,6.3633,0.0321,198
TA,20,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1557,6.2998,0.033,191
TA,20,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1594,5.9201,0.032,185
TA,20,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1528,5.6361,0.0297,190
TA,20,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1485,5.1424,0.0281,183
TA,20,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1882,7.3007,0.0327,223
TA,20,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1841,7.0829,0.0336,211
TA,20,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1707,7.6411,0.0331,231
TA,20,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1853,7.033,0.0333,211
TA,20,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1752,6.8,0.0313,217
TA,20,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1943,5.9151,0.0302,196
TA,20,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1919,6.7921,0.0338,201
TA,20,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1727,7.2329,0.0335,216
TA,20,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1799,7.0591,0.0333,212
