problem,job_n,mc_n,i,UB,time,convergence
TA,15,15,0,1231,5.8047,4
TA,15,15,1,1244,48.7327,4
TA,15,15,2,1218,31.3754,4
TA,15,15,3,1175,28.2508,4
TA,15,15,4,1224,225.9955,4
TA,15,15,5,1240,300.2029,2
TA,15,15,6,1228,300.1687,2
TA,15,15,7,1217,149.7411,4
TA,15,15,8,1274,163.6899,4
TA,15,15,9,1241,87.6654,4
TA,20,15,0,1382,300.2211,2
TA,20,15,1,1368,300.1898,2
TA,20,15,2,1347,300.2343,2
TA,20,15,3,1345,24.7914,4
TA,20,15,4,1379,300.2277,2
TA,20,15,5,1394,300.243,2
TA,20,15,6,1462,134.5138,4
TA,20,15,7,1431,300.2456,2
TA,20,15,8,1353,300.2262,2
TA,20,15,9,1354,300.2187,2
TA,20,20,0,1651,300.2512,2
TA,20,20,1,1625,300.2547,2
TA,20,20,2,1581,300.2491,2
TA,20,20,3,1648,300.2171,2
TA,20,20,4,1628,300.2439,2
TA,20,20,5,1670,300.361,2
TA,20,20,6,1718,300.2657,2
TA,20,20,7,1648,300.1613,2
TA,20,20,8,1649,300.4403,2
TA,20,20,9,1617,300.2637,2
TA,30,15,0,1792,300.3124,2
TA,30,15,1,1860,300.2184,2
TA,30,15,2,1838,300.3056,2
TA,30,15,3,1878,300.269,2
TA,30,15,4,2007,10.8224,4
TA,30,15,5,1843,300.2719,2
TA,30,15,6,1835,300.3358,2
TA,30,15,7,1732,300.3334,2
TA,30,15,8,1814,300.2896,2
TA,30,15,9,1730,300.2706,2
TA,30,20,0,2094,300.3185,2
TA,30,20,1,1981,300.3106,2
TA,30,20,2,1932,300.3297,2
TA,30,20,3,2035,300.3401,2
TA,30,20,4,2019,300.3139,2
TA,30,20,5,2103,300.1299,2
TA,30,20,6,1979,300.289,2
TA,30,20,7,2074,300.3199,2
TA,30,20,8,2037,299.9277,2
TA,30,20,9,2012,300.32,2
YN,20,20,0,893,300.3114,2
YN,20,20,1,920,300.3396,2
YN,20,20,2,906,300.2691,2
YN,20,20,3,995,300.3073,2
ABZ,10,10,0,1234,1.3286,4
ABZ,10,10,1,943,0.2937,4
ABZ,20,15,0,663,300.2091,2
