benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan,run_t,mean_transit_t,decision_n
TA,15,15,0,rule,conflict,basic,Ours,1399,0.1615,0.0037,44
TA,15,15,1,rule,conflict,basic,Ours,1359,0.1375,0.0029,48
TA,15,15,2,rule,conflict,basic,Ours,1425,0.1365,0.0026,52
TA,15,15,3,rule,conflict,basic,Ours,1353,0.1345,0.0027,49
TA,15,15,4,rule,conflict,basic,Ours,1386,0.1405,0.0027,53
TA,15,15,5,rule,conflict,basic,Ours,1379,0.1336,0.0025,53
TA,15,15,6,rule,conflict,basic,Ours,1385,0.1505,0.0036,42
TA,15,15,7,rule,conflict,basic,Ours,1408,0.1575,0.0032,50
TA,15,15,8,rule,conflict,basic,Ours,1454,0.1565,0.0031,50
TA,15,15,9,rule,conflict,basic,Ours,1427,0.1535,0.0031,49
TA,20,15,0,rule,conflict,basic,Ours,1582,0.296,0.0033,89
TA,20,15,1,rule,conflict,basic,Ours,1564,0.294,0.0033,89
TA,20,15,2,rule,conflict,basic,Ours,1566,0.297,0.0034,87
TA,20,15,3,rule,conflict,basic,Ours,1605,0.2482,0.0029,86
TA,20,15,4,rule,conflict,basic,Ours,1601,0.2781,0.0031,90
TA,20,15,5,rule,conflict,basic,Ours,1550,0.2731,0.0032,86
TA,20,15,6,rule,conflict,basic,Ours,1649,0.291,0.0032,91
TA,20,15,7,rule,conflict,basic,Ours,1680,0.2801,0.0031,89
TA,20,15,8,rule,conflict,basic,Ours,1564,0.2841,0.0033,85
TA,20,15,9,rule,conflict,basic,Ours,1578,0.2571,0.0028,93
TA,20,20,0,rule,conflict,basic,Ours,1961,0.4346,0.0048,91
TA,20,20,1,rule,conflict,basic,Ours,1891,0.441,0.0055,80
TA,20,20,2,rule,conflict,basic,Ours,1804,0.4336,0.0047,93
TA,20,20,3,rule,conflict,basic,Ours,1904,0.4276,0.0052,82
TA,20,20,4,rule,conflict,basic,Ours,1894,0.4196,0.0051,83
TA,20,20,5,rule,conflict,basic,Ours,1942,0.4257,0.0051,84
TA,20,20,6,rule,conflict,basic,Ours,1943,0.4256,0.0049,86
TA,20,20,7,rule,conflict,basic,Ours,1811,0.4365,0.0052,84
TA,20,20,8,rule,conflict,basic,Ours,1861,0.4336,0.0049,89
TA,20,20,9,rule,conflict,basic,Ours,1862,0.4525,0.0047,96
TA,30,15,0,rule,conflict,basic,Ours,2110,0.7096,0.0037,192
TA,30,15,1,rule,conflict,basic,Ours,2222,0.6827,0.0038,178
TA,30,15,2,rule,conflict,basic,Ours,2236,0.6159,0.0036,171
TA,30,15,3,rule,conflict,basic,Ours,2132,0.6523,0.0036,183
TA,30,15,4,rule,conflict,basic,Ours,2309,0.7007,0.0038,186
TA,30,15,5,rule,conflict,basic,Ours,2095,0.6658,0.004,165
