benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan,run_t,mean_transit_t,decision_n
TA,15,15,0,rule,single_mc_buffer,simple,SPT,1462,0.1385,0.0027,51
TA,15,15,0,rule,single_mc_buffer,simple,LPT,1701,0.1485,0.0038,39
TA,15,15,0,rule,single_mc_buffer,simple,SRPT,1710,0.1425,0.0032,44
TA,15,15,0,rule,single_mc_buffer,simple,LRPT,1491,0.1455,0.0026,56
TA,15,15,0,rule,single_mc_buffer,simple,STT,1575,0.1615,0.0037,44
TA,15,15,0,rule,single_mc_buffer,simple,LTT,1484,0.1525,0.0032,48
TA,15,15,0,rule,single_mc_buffer,simple,LOR,1737,0.1355,0.0032,43
TA,15,15,0,rule,single_mc_buffer,simple,MOR,1438,0.1425,0.0024,59
TA,15,15,1,rule,single_mc_buffer,simple,SPT,1446,0.1425,0.0025,58
TA,15,15,1,rule,single_mc_buffer,simple,LPT,1755,0.1465,0.0028,53
TA,15,15,1,rule,single_mc_buffer,simple,SRPT,2024,0.1369,0.0027,50
TA,15,15,1,rule,single_mc_buffer,simple,LRPT,1440,0.1345,0.0024,57
TA,15,15,1,rule,single_mc_buffer,simple,STT,1835,0.1375,0.0029,48
TA,15,15,1,rule,single_mc_buffer,simple,LTT,1439,0.1435,0.0023,63
TA,15,15,1,rule,single_mc_buffer,simple,LOR,1811,0.1365,0.003,45
TA,15,15,1,rule,single_mc_buffer,simple,MOR,1452,0.1535,0.0028,54
TA,15,15,2,rule,single_mc_buffer,simple,SPT,1495,0.1505,0.0024,62
TA,15,15,2,rule,single_mc_buffer,simple,LPT,1655,0.1415,0.0026,55
TA,15,15,2,rule,single_mc_buffer,simple,SRPT,1759,0.1365,0.0027,50
TA,15,15,2,rule,single_mc_buffer,simple,LRPT,1426,0.1395,0.0024,58
TA,15,15,2,rule,single_mc_buffer,simple,STT,1827,0.1365,0.0026,52
TA,15,15,2,rule,single_mc_buffer,simple,LTT,1429,0.148,0.0023,63
TA,15,15,2,rule,single_mc_buffer,simple,LOR,1574,0.1306,0.0027,49
TA,15,15,2,rule,single_mc_buffer,simple,MOR,1418,0.1405,0.0022,63
TA,15,15,3,rule,single_mc_buffer,simple,SPT,1708,0.1336,0.0027,50
TA,15,15,3,rule,single_mc_buffer,simple,LPT,1800,0.1395,0.0026,54
TA,15,15,3,rule,single_mc_buffer,simple,SRPT,1843,0.1375,0.0026,52
TA,15,15,3,rule,single_mc_buffer,simple,LRPT,1387,0.1365,0.0025,55
TA,15,15,3,rule,single_mc_buffer,simple,STT,1862,0.1345,0.0027,49
TA,15,15,3,rule,single_mc_buffer,simple,LTT,1400,0.1405,0.0024,59
TA,15,15,3,rule,single_mc_buffer,simple,LOR,1550,0.1365,0.0029,47
TA,15,15,3,rule,single_mc_buffer,simple,MOR,1457,0.1405,0.0022,63
TA,15,15,4,rule,single_mc_buffer,simple,SPT,1618,0.1345,0.0026,52
TA,15,15,4,rule,single_mc_buffer,simple,LPT,1828,0.1405,0.0023,62
TA,15,15,4,rule,single_mc_buffer,simple,SRPT,1772,0.1345,0.0027,49
TA,15,15,4,rule,single_mc_buffer,simple,LRPT,1494,0.1415,0.0024,58
TA,15,15,4,rule,single_mc_buffer,simple,STT,1992,0.1405,0.0027,53
TA,15,15,4,rule,single_mc_buffer,simple,LTT,1443,0.1455,0.0024,61
TA,15,15,4,rule,single_mc_buffer,simple,LOR,1788,0.1355,0.0025,54
TA,15,15,4,rule,single_mc_buffer,simple,MOR,1448,0.1375,0.0024,58
TA,15,15,5,rule,single_mc_buffer,simple,SPT,1522,0.146,0.0027,54
TA,15,15,5,rule,single_mc_buffer,simple,LPT,1683,0.1375,0.0028,50
TA,15,15,5,rule,single_mc_buffer,simple,SRPT,1740,0.1456,0.0026,56
TA,15,15,5,rule,single_mc_buffer,simple,LRPT,1369,0.1336,0.0026,52
TA,15,15,5,rule,single_mc_buffer,simple,STT,1827,0.1336,0.0025,53
TA,15,15,5,rule,single_mc_buffer,simple,LTT,1423,0.1495,0.0025,60
TA,15,15,5,rule,single_mc_buffer,simple,LOR,1714,0.1495,0.0029,52
TA,15,15,5,rule,single_mc_buffer,simple,MOR,1486,0.1545,0.0025,63
TA,15,15,6,rule,single_mc_buffer,simple,SPT,1434,0.1405,0.0033,43
TA,15,15,6,rule,single_mc_buffer,simple,LPT,1824,0.1485,0.0027,54
TA,15,15,6,rule,single_mc_buffer,simple,SRPT,1655,0.1425,0.0032,44
TA,15,15,6,rule,single_mc_buffer,simple,LRPT,1470,0.1565,0.0027,59
TA,15,15,6,rule,single_mc_buffer,simple,STT,1723,0.1505,0.0036,42
TA,15,15,6,rule,single_mc_buffer,simple,LTT,1406,0.1455,0.0027,53
TA,15,15,6,rule,single_mc_buffer,simple,LOR,1754,0.1455,0.0032,45
TA,15,15,6,rule,single_mc_buffer,simple,MOR,1456,0.1555,0.003,52
TA,15,15,7,rule,single_mc_buffer,simple,SPT,1457,0.1415,0.0035,41
TA,15,15,7,rule,single_mc_buffer,simple,LPT,1577,0.1535,0.0033,46
TA,15,15,7,rule,single_mc_buffer,simple,SRPT,1945,0.1575,0.0034,47
TA,15,15,7,rule,single_mc_buffer,simple,LRPT,1491,0.1565,0.003,52
TA,15,15,7,rule,single_mc_buffer,simple,STT,1624,0.1575,0.0032,50
TA,15,15,7,rule,single_mc_buffer,simple,LTT,1508,0.1595,0.0028,56
TA,15,15,7,rule,single_mc_buffer,simple,LOR,1709,0.1475,0.0032,46
TA,15,15,7,rule,single_mc_buffer,simple,MOR,1482,0.1535,0.0032,48
TA,15,15,8,rule,single_mc_buffer,simple,SPT,1622,0.1515,0.0026,59
TA,15,15,8,rule,single_mc_buffer,simple,LPT,1746,0.1515,0.0027,56
